Başlık,İçerik
Bakan Tekin: Darıca’daki öğretmene saldırı olayı ile ilgili soruşturma başlattık,"Milli Eğitim Bakanı Yusuf Tekin, Kocaeli Darıca'da yaşanan öğretmene saldırı olayıyla ilgili ""Bakanlık olarak bu menfur olayla ilgili soruşturmayı başlattığımız gibi adli sürecin de takipçisi olacağız"" dedi."
27 Mayıs'ın 'tutuklu bebeği' yaşananları TRT Haber'e anlattı,"27 Mayıs darbesi geride acı dolu hikayeler bıraktı. Tıpkı Demokrat Parti İstanbul Milletvekili Necla Tekinel ve bebeğinin hikayesi gibi. Yassıada'da tutsak olduğu sırada doğum yapan Tekinel, bebeğiyle sadece 15 gün kalabildi. Oğlu Mehmet Tekinel yaşananları 64 yıl sonra TRT Haber'e anlattı."
Türkiye ile Kamboçya arasında iletişimde iş birliği,"Türkiye ile Kamboçya arasında ""Medya ve İletişim Alanında İşbirliğine İlişkin Mutabakat Zaptı"" imzalandı."
Bakan Koca: Gazze'de insanlığın onuru hepimizin gözleri önünde yok edilmektedir,"Bakan Koca, İsrail'in katliamlarına tepki göstererek ""Gazze'de insanlığın onuru hepimizin gözleri önünde, üstünde tepine tepine yok edilmektedir. Bizim insanlığımız nerede? Biz nasıl insanlar olduk da çocuklar ölürken uyuyabiliyoruz?"" dedi."
TCG Kınalıada korveti Tayland fırkateyniyle eğitim icra etti,"TCG Kınalıada korveti, Tayland Deniz Kuvvetlerine ait HTMS BHUMIBOL ADULYADEJ fırkateyni ile geçiş eğitimleri icra etti."
"USOM, her gün yaklaşık 422 büyük saldırıyı engelliyor","Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Ulusal Siber Olaylara Müdahale Merkezi tarafından yürütülen çalışmalarda her gün yaklaşık 422 büyük saldırı ve 11 milyondan fazla da zararlı erişim isteğinin engellendiğini söyledi."
Milli Güvenlik Kurulu toplantısı sona erdi,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın başkanlığındaki Milli Güvenlik Kurulu (MGK), toplantısı sona erdi."
Mersin'de tarihi yakalama: 1 milyar TL'lik kaçakçılık önlendi,Gümrük Muhafaza ekiplerince Mersin'de gerçekleştirilen operasyonda 1 milyar TL değerinde kaçakçılık girişimine engel olunurken tarihi bir yakalamaya imza atıldı. Kocaeli Limanı’nda gerçekleştirilen operasyonda ise yaklaşık 22 milyon TL değerinde muhtelif türde ticari eşya yakalandı.
İki ayrı organize suç örgütü çökertildi: 27 tutuklama,"Çorum ve Sinop merkezli 6 ilde Jandarma tarafından düzenlenen “Mahzen-50” operasyonlarında Çorum’da Yunus Emre Akyıldız ve Gözde Akyıldız’ın, Sinop’ta Mustafa Demir’in elebaşılığını yaptığı iki ayrı organize suç örgütü çökertildi. Operasyonlarda elebaşlarının da içerisinde bulunduğu organize suç örgütü üyesi 39 şüpheli yakalandı, 
27'si tutuklandı."
Cumhurbaşkanı Erdoğan tarafından yapılan atamalar Resmi Gazete'de,Cumhurbaşkanı Recep Tayyip Erdoğan'ın imzasıyla Adalet Bakanlığı'na yapılan atamalar Resmi Gazete'de yayımlandı.
MGK bugün Beştepe'de toplanacak,"Milli Güvenlik Kurulu (MGK), iki aylık aranın ardından bugün Beştepe'de toplanacak. Toplantının öncelikli gündemi; Türkiye'nin sınır ötesindeki terörle mücadele operasyonları ve İsrail'in Filistin'deki saldırıları. MGK toplantısında, bölgesel ve uluslararası güvenlik konuları da ele alınacak."
Altun: Darbe girişimleri milletin iradesiyle bozulmuştur,"Cumhurbaşkanlığı İletişim Başkanı Fahrettin Altun, ""Darbeler 'yeter söz milletindir' dedirtmeme girişimleridir. Bu girişimler, yine milletin iradesiyle ve yine gerçekten milletin içinden çıkmış gerçek siyasetçilerle bozulmuştur"" dedi."
Cumhurbaşkanı Erdoğan'dan Galatasaray Kulübü Başkanı Özbek'e tebrik telefonu,"Cumhurbaşkanı Recep Tayyip Erdoğan, Galatasaray Kulübü Başkanı Dursun Özbek'i başkanlığa tekrar seçilmesi ve Galatasaray'ın şampiyonluğu dolayısıyla tebrik etti."
Dışişleri Bakanlığı'ndan İsrail Dışişleri Bakanının paylaşımlarına tepki,"Dışişleri Bakanlığı, İsrail Dışişleri Bakanı Katz’ın Cumhurbaşkanı Recep Tayyip Erdoğan'a yönelik ithamlarına tepki gösterdi. Açıklamada, ""İsrail Dışişleri Bakanının, saygısız üslubu ve asılsız ithamları, İsrail’in Filistin’de işlediği suçlarla ilgili gündemi değiştirmeye yönelik faydasız bir çabadır"" denildi."
"Erdoğan, İspanya Başbakanı Sanchez ile görüştü","Cumhurbaşkanı Recep Tayyip Erdoğan,  İspanya Başbakanı Sanchez ile telefonda görüştü. Görüşmede iki ülke ilişkileri, bölgesel ve küresel konular, İsrail'in Gazze'ye saldırıları ele alındı."
"DMM'den 'kalfalık, ustalık ve usta öğreticilik' belgelerine dair uyarı","Cumhurbaşkanlığı İletişim Başkanlığı Dezenformasyonla Mücadele Merkezi (DMM), sosyal medyada ya da bazı reklam mecralarındaki duyurular yoluyla, resmiyet ve geçerliliği olmayan kalfalık, ustalık ve usta öğreticilik belgesi almak için girişimde bulunmamaları konusunda vatandaşları uyardı."
